datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2013-01-11,sylhet,19.6,5.6,12.2,19.6,3.3,11.8,6.9,71.8,0.0,0,0.0,,,,,10.1,211.2,1015.2,4.1,1.3,155.6,13.4,6,,2013-01-11T06:39:10,2013-01-11T17:21:46,0.98,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-12,sylhet,22.1,6.9,14.2,22.1,5.4,13.9,8.7,72.3,0.0,0,0.0,,,,,9.4,215.3,1015.0,2.1,2.8,167.4,14.5,6,,2013-01-12T06:39:13,2013-01-12T17:22:30,0.0,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-13,sylhet,23.1,6.2,15.3,23.1,6.2,15.0,9.4,70.5,0.0,0,0.0,,,,,10.4,204.3,1013.4,0.0,3.3,174.0,14.9,7,,2013-01-13T06:39:14,2013-01-13T17:23:15,0.05,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-14,sylhet,24.4,9.2,16.6,24.4,7.6,16.4,10.6,70.3,0.0,0,0.0,,,,,10.4,121.6,1013.4,0.0,3.8,174.7,15.0,7,,2013-01-14T06:39:14,2013-01-14T17:23:59,0.08,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-15,sylhet,24.7,10.7,17.6,24.7,10.7,17.6,10.7,66.9,0.0,0,0.0,,,,,8.3,22.5,1014.9,0.0,3.8,185.2,16.0,7,,2013-01-15T06:39:12,2013-01-15T17:24:44,0.11,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-16,sylhet,25.5,8.7,17.9,25.5,8.7,17.9,11.0,66.2,0.0,0,0.0,,,,,10.4,98.2,1016.0,13.7,3.8,178.5,15.2,7,,2013-01-16T06:39:09,2013-01-16T17:25:30,0.14,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-17,sylhet,26.4,8.9,18.1,26.4,8.9,18.1,12.3,71.5,0.0,0,0.0,,,,,10.4,59.7,1016.7,78.7,3.3,169.7,14.7,6,,2013-01-17T06:39:04,2013-01-17T17:26:15,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-01-18,sylhet,26.8,12.6,19.3,27.2,12.6,19.3,14.1,74.0,0.0,0,0.0,,,,,9.7,46.9,1017.2,64.3,4.5,167.8,14.4,7,,2013-01-18T06:38:58,2013-01-18T17:27:00,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-01-19,sylhet,27.3,9.9,19.6,27.5,9.9,19.6,14.2,73.5,0.0,0,0.0,,,,,9.7,215.8,1016.0,0.4,4.0,172.1,14.9,7,,2013-01-19T06:38:51,2013-01-19T17:27:45,0.25,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-20,sylhet,26.6,14.7,19.6,26.6,14.7,19.6,14.4,73.3,0.0,0,0.0,,,,,9.7,247.7,1015.0,1.9,3.8,166.3,14.3,6,,2013-01-20T06:38:42,2013-01-20T17:28:31,0.27,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-21,sylhet,25.5,13.5,18.1,25.5,13.5,18.1,11.9,70.9,0.0,0,0.0,,,,,10.4,267.8,1017.0,3.7,2.0,185.8,16.1,7,,2013-01-21T06:38:31,2013-01-21T17:29:16,0.31,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-22,sylhet,25.8,10.1,16.9,25.8,10.1,16.9,9.2,63.3,0.0,0,0.0,,,,,11.9,248.0,1017.4,1.3,4.3,194.0,16.7,7,,2013-01-22T06:38:19,2013-01-22T17:30:01,0.34,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-23,sylhet,26.4,9.0,16.5,26.4,7.5,16.4,9.0,64.7,0.0,0,0.0,,,,,12.6,234.4,1016.3,0.0,4.5,199.3,17.1,7,,2013-01-23T06:38:06,2013-01-23T17:30:46,0.37,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-24,sylhet,25.4,9.1,16.3,25.4,8.0,16.2,7.5,58.6,0.0,0,0.0,,,,,11.5,254.9,1015.7,0.0,4.0,193.4,16.7,7,,2013-01-24T06:37:51,2013-01-24T17:31:31,0.4,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-25,sylhet,24.1,7.0,14.4,24.1,5.6,14.1,5.7,60.4,0.0,0,0.0,,,,,12.2,244.7,1016.1,12.1,3.5,204.2,17.7,8,,2013-01-25T06:37:35,2013-01-25T17:32:16,0.44,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-26,sylhet,23.4,6.5,14.4,23.4,5.1,13.9,5.4,58.3,0.0,0,0.0,,,,,11.0,230.6,1015.7,3.7,1.7,195.6,17.1,7,,2013-01-26T06:37:17,2013-01-26T17:33:00,0.47,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-27,sylhet,24.0,7.9,15.2,24.0,7.0,14.9,6.8,60.3,0.0,0,0.0,,,,,8.6,244.1,1016.8,49.3,1.7,194.8,16.8,7,,2013-01-27T06:36:58,2013-01-27T17:33:45,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-01-28,sylhet,26.0,10.0,17.4,26.0,8.8,17.4,9.9,64.0,0.0,0,0.0,,,,,10.8,206.7,1014.9,65.7,4.0,176.9,15.3,7,,2013-01-28T06:36:38,2013-01-28T17:34:29,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-01-29,sylhet,26.7,10.7,17.6,26.7,10.7,17.6,10.7,67.0,0.0,0,0.0,,,,,15.8,220.6,1013.7,5.9,4.0,194.7,16.7,7,,2013-01-29T06:36:16,2013-01-29T17:35:13,0.57,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-30,sylhet,25.6,8.6,17.3,25.6,8.5,17.2,8.7,60.9,0.0,0,0.0,,,,,10.4,210.1,1014.5,0.5,3.8,186.4,16.0,7,,2013-01-30T06:35:53,2013-01-30T17:35:56,0.61,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-01-31,sylhet,26.1,10.0,18.4,26.1,8.6,18.3,10.2,61.1,0.0,0,0.0,,,,,11.9,199.4,1016.0,33.2,4.3,166.8,14.5,6,,2013-01-31T06:35:28,2013-01-31T17:36:40,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-01,sylhet,25.2,11.8,18.1,25.2,11.8,18.1,11.9,68.5,0.0,0,0.0,,,,,10.1,197.4,1015.9,89.9,4.3,108.0,9.4,5,,2013-02-01T06:35:02,2013-02-01T17:37:23,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-02,sylhet,27.0,11.2,19.1,26.6,11.2,19.0,11.1,63.4,0.0,0,0.0,,,,,10.1,242.4,1015.0,15.7,4.3,192.5,16.7,7,,2013-02-02T06:34:35,2013-02-02T17:38:05,0.71,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-03,sylhet,27.6,13.5,19.1,26.9,13.5,19.0,11.4,63.7,0.0,0,0.0,,,,,13.0,220.4,1014.1,41.5,5.3,160.3,13.7,7,,2013-02-03T06:34:06,2013-02-03T17:38:48,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-04,sylhet,28.3,11.3,20.1,27.3,11.3,20.0,10.7,57.8,0.0,0,0.0,,,,,10.4,133.5,1015.8,0.0,4.5,192.3,16.7,7,,2013-02-04T06:33:37,2013-02-04T17:39:30,0.79,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-05,sylhet,30.0,11.7,21.3,29.0,11.7,21.1,12.6,60.9,0.0,0,0.0,,,,,10.4,76.1,1017.3,0.0,4.5,211.9,18.3,8,,2013-02-05T06:33:06,2013-02-05T17:40:11,0.82,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-06,sylhet,31.7,15.1,22.5,30.8,15.1,22.4,13.7,60.7,0.0,0,0.0,,,,,10.8,233.0,1014.7,0.0,4.5,215.7,18.7,8,,2013-02-06T06:32:33,2013-02-06T17:40:52,0.86,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-07,sylhet,31.0,16.8,23.0,30.0,16.8,22.8,13.5,58.1,0.0,0,0.0,,,,,8.6,243.1,1012.5,43.6,4.3,195.3,17.0,7,,2013-02-07T06:32:00,2013-02-07T17:41:33,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-08,sylhet,29.2,16.4,21.7,28.4,16.4,21.6,14.6,66.6,0.0,0,0.0,,,,,10.4,252.4,1012.5,34.4,4.8,166.9,14.4,6,,2013-02-08T06:31:25,2013-02-08T17:42:14,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-09,sylhet,28.7,13.0,20.1,27.4,13.0,19.9,9.8,56.8,0.0,0,0.0,,,,,13.7,256.6,1013.4,10.1,3.3,224.0,19.4,8,,2013-02-09T06:30:49,2013-02-09T17:42:54,0.96,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-10,sylhet,30.0,11.8,19.5,28.2,11.8,19.2,7.5,49.9,0.0,0,0.0,,,,,12.6,244.5,1012.9,0.4,4.3,236.8,20.5,8,,2013-02-10T06:30:12,2013-02-10T17:43:33,0.0,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-11,sylhet,29.8,11.1,19.7,28.1,11.1,19.5,8.2,51.9,0.0,0,0.0,,,,,11.5,264.1,1013.1,30.1,4.3,226.8,19.6,8,,2013-02-11T06:29:34,2013-02-11T17:44:12,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-12,sylhet,30.8,11.2,20.6,28.9,11.2,20.3,8.1,47.6,0.0,0,0.0,,,,,11.9,271.0,1013.4,87.7,5.7,208.9,17.9,7,,2013-02-12T06:28:54,2013-02-12T17:44:51,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-13,sylhet,29.9,12.0,20.4,28.2,12.0,20.1,9.0,51.7,0.0,0,0.0,,,,,11.5,215.2,1012.0,72.5,4.8,187.3,16.4,7,,2013-02-13T06:28:14,2013-02-13T17:45:29,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-02-14,sylhet,30.3,12.1,20.7,28.5,12.1,20.4,9.6,53.1,0.0,0,0.0,,,,,15.5,224.7,1012.1,0.0,4.4,218.7,18.8,8,,2013-02-14T06:27:32,2013-02-14T17:46:07,0.13,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-15,sylhet,30.4,13.0,21.5,28.6,13.0,21.1,8.0,46.0,0.0,0,0.0,,,,,9.7,240.0,1013.1,0.4,4.3,232.4,19.9,8,,2013-02-15T06:26:50,2013-02-15T17:46:44,0.16,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-16,sylhet,32.6,13.7,22.5,30.6,13.7,22.1,10.5,50.3,0.0,0,0.0,,,,,11.5,243.5,1011.9,18.7,4.0,216.0,18.7,7,,2013-02-16T06:26:06,2013-02-16T17:47:21,0.19,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-17,sylhet,29.4,17.6,22.2,28.8,17.6,22.2,14.8,64.8,1.3,100,8.33,rain,,,,15.5,278.5,1010.1,71.5,4.3,150.1,13.0,7,,2013-02-17T06:25:22,2013-02-17T17:47:58,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"41915099999,41891099999,remote"
2013-02-18,sylhet,26.1,14.8,19.5,26.1,14.8,19.5,13.4,70.3,7.2,100,29.17,rain,,,,18.4,268.5,1011.6,21.3,3.0,221.3,19.1,8,,2013-02-18T06:24:36,2013-02-18T17:48:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41915099999,41891099999,remote"
2013-02-19,sylhet,27.4,13.6,19.9,26.6,13.6,19.8,9.2,53.6,0.0,0,0.0,,,,,10.1,299.5,1013.2,5.8,3.3,247.9,21.5,9,,2013-02-19T06:23:50,2013-02-19T17:49:09,0.29,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-20,sylhet,29.1,14.4,20.7,28.0,14.4,20.5,10.5,54.6,0.0,0,0.0,,,,,11.9,276.4,1012.6,0.0,4.5,235.6,20.5,8,,2013-02-20T06:23:02,2013-02-20T17:49:44,0.32,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-21,sylhet,30.1,13.4,21.2,28.7,13.4,20.9,10.7,55.0,0.0,0,0.0,,,,,10.8,288.5,1013.0,0.0,4.8,237.4,20.5,8,,2013-02-21T06:22:14,2013-02-21T17:50:19,0.35,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-22,sylhet,32.5,15.2,22.9,31.0,15.2,22.6,12.0,53.4,0.0,0,0.0,,,,,11.5,286.6,1013.5,0.5,4.8,244.4,21.1,9,,2013-02-22T06:21:25,2013-02-22T17:50:53,0.38,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-23,sylhet,33.4,14.6,23.6,32.2,14.6,23.4,13.4,56.5,0.0,0,0.0,,,,,14.6,239.9,1013.1,0.2,4.5,241.1,20.8,8,,2013-02-23T06:20:35,2013-02-23T17:51:27,0.42,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-24,sylhet,33.8,15.6,23.8,32.5,15.6,23.6,13.1,55.0,0.0,0,0.0,,,,,12.2,242.5,1013.0,0.5,4.8,237.6,20.6,8,,2013-02-24T06:19:44,2013-02-24T17:52:00,0.45,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-25,sylhet,34.0,16.1,23.8,32.2,16.1,23.5,11.9,50.8,0.0,0,0.0,,,,,14.0,286.5,1012.9,0.0,4.8,243.5,21.1,9,,2013-02-25T06:18:52,2013-02-25T17:52:33,0.48,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-26,sylhet,33.3,16.9,24.0,31.4,16.9,23.5,10.9,47.6,0.0,0,0.0,,,,,11.5,292.1,1013.9,0.0,4.8,254.2,21.9,9,,2013-02-26T06:18:00,2013-02-26T17:53:06,0.5,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-27,sylhet,33.1,16.1,23.9,31.3,16.1,23.5,11.6,49.8,0.0,0,0.0,,,,,14.6,285.7,1012.3,2.7,4.8,245.1,21.2,9,,2013-02-27T06:17:07,2013-02-27T17:53:38,0.55,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-02-28,sylhet,33.2,16.5,23.7,30.9,16.5,23.2,10.7,49.5,0.0,0,0.0,,,,,11.1,272.2,1010.0,0.0,4.5,261.2,22.5,9,,2013-02-28T06:16:13,2013-02-28T17:54:10,0.59,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-01,sylhet,32.5,16.4,23.4,30.4,16.4,22.9,9.3,44.4,0.0,0,0.0,,,,,10.8,289.8,1011.0,1.7,3.3,260.9,22.6,9,,2013-03-01T06:15:19,2013-03-01T17:54:41,0.62,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-02,sylhet,32.5,12.9,22.9,30.3,12.9,22.4,9.0,46.1,0.0,0,0.0,,,,,11.2,262.7,1012.7,0.0,4.3,265.1,23.0,9,,2013-03-02T06:14:24,2013-03-02T17:55:12,0.66,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-03,sylhet,33.5,13.7,23.4,31.4,13.7,22.9,9.7,46.0,0.0,0,0.0,,,,,13.7,238.3,1012.1,0.0,3.7,257.0,22.2,9,,2013-03-03T06:13:28,2013-03-03T17:55:43,0.69,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-04,sylhet,33.1,13.2,23.4,31.3,13.2,23.0,10.9,49.0,0.0,0,0.0,,,,,14.4,246.8,1013.6,0.1,4.8,240.7,20.8,8,,2013-03-04T06:12:32,2013-03-04T17:56:13,0.73,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-05,sylhet,33.5,15.1,24.7,31.5,15.1,24.3,10.5,44.0,0.0,0,0.0,,,,,13.3,240.9,1014.7,0.0,4.5,261.0,22.4,9,,2013-03-05T06:11:36,2013-03-05T17:56:43,0.75,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-06,sylhet,33.0,15.5,25.0,31.0,15.5,24.4,10.4,43.2,0.0,0,0.0,,,,,11.9,235.4,1014.3,0.0,4.5,241.1,20.8,8,,2013-03-06T06:10:38,2013-03-06T17:57:13,0.8,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-07,sylhet,33.6,15.8,24.8,31.6,15.8,24.2,10.7,44.7,0.0,0,0.0,,,,,11.2,278.0,1013.7,0.0,4.5,257.4,22.3,9,,2013-03-07T06:09:40,2013-03-07T17:57:42,0.84,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-08,sylhet,34.4,17.5,25.1,32.2,17.5,24.6,10.7,44.1,0.0,0,0.0,,,,,12.6,283.3,1012.8,2.6,4.5,248.2,21.4,9,,2013-03-08T06:08:42,2013-03-08T17:58:11,0.87,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-09,sylhet,33.8,17.3,24.6,31.8,17.3,24.1,10.6,44.4,0.0,0,0.0,,,,,14.7,259.0,1010.9,0.0,4.5,246.9,21.4,9,,2013-03-09T06:07:44,2013-03-09T17:58:40,0.91,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-10,sylhet,34.5,15.1,25.1,32.4,15.1,24.5,10.5,44.5,0.0,0,0.0,,,,,11.5,234.0,1010.3,0.0,4.0,246.3,21.4,9,,2013-03-10T06:06:44,2013-03-10T17:59:08,0.94,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-11,sylhet,34.3,16.5,24.9,33.8,16.5,24.8,14.3,54.9,0.0,0,0.0,,,,,11.5,209.9,1010.8,3.2,4.6,232.2,20.1,8,,2013-03-11T06:05:45,2013-03-11T17:59:36,0.98,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-12,sylhet,34.3,18.7,26.0,34.2,18.7,26.2,16.9,60.2,0.0,0,0.0,,,,,12.6,199.0,1010.3,20.4,4.3,235.5,20.4,8,,2013-03-12T06:04:45,2013-03-12T18:00:04,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-03-13,sylhet,33.5,20.1,27.0,34.0,20.1,27.6,18.7,63.5,1.4,100,20.83,rain,,,,11.5,211.1,1011.6,15.2,4.5,225.0,19.4,8,,2013-03-13T06:03:45,2013-03-13T18:00:32,0.05,Rain,Clear conditions throughout the day with rain.,rain,"41915099999,41891099999,remote"
2013-03-14,sylhet,33.4,21.6,27.1,34.7,21.6,27.8,19.0,63.0,1.9,100,25.0,rain,,,,10.1,241.2,1012.1,65.9,4.3,215.1,18.6,8,,2013-03-14T06:02:45,2013-03-14T18:00:59,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41915099999,41891099999,remote"
2013-03-15,sylhet,35.1,22.2,28.3,36.0,22.2,29.2,18.8,58.5,0.0,0,0.0,,,,,11.2,232.1,1012.7,85.0,5.0,199.4,17.3,7,,2013-03-15T06:01:44,2013-03-15T18:01:26,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-03-16,sylhet,36.9,22.8,28.9,37.1,22.8,29.3,17.4,53.2,0.0,0,0.0,,,,,15.1,252.5,1013.0,20.4,3.5,240.5,20.6,8,,2013-03-16T06:00:43,2013-03-16T18:01:53,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-03-17,sylhet,35.9,19.8,27.1,34.8,19.8,26.8,14.9,51.4,1.8,100,33.33,rain,,,,15.1,247.3,1011.9,8.6,4.5,250.7,21.6,8,,2013-03-17T05:59:42,2013-03-17T18:02:20,0.17,Rain,Clear conditions throughout the day with rain.,rain,"41915099999,41891099999,remote"
2013-03-18,sylhet,32.9,17.9,25.1,31.4,17.9,24.6,12.8,50.3,2.1,100,16.67,rain,,,,15.8,235.4,1009.3,4.2,4.8,277.7,23.9,9,,2013-03-18T05:58:40,2013-03-18T18:02:47,0.21,Rain,Clear conditions throughout the day with morning rain.,rain,"41915099999,41891099999,remote"
2013-03-19,sylhet,34.7,17.4,25.9,32.6,17.4,25.3,11.4,45.5,0.0,0,0.0,,,,,14.4,238.1,1009.0,1.3,4.5,273.1,23.4,9,,2013-03-19T05:57:39,2013-03-19T18:03:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
2013-03-20,sylhet,34.7,18.7,27.1,33.9,18.7,26.8,14.1,47.5,0.0,0,0.0,,,,,9.7,136.5,1010.3,24.7,4.5,265.4,22.9,9,,2013-03-20T05:56:37,2013-03-20T18:03:40,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote"
2013-03-21,sylhet,36.0,20.8,27.9,35.9,20.8,28.1,16.1,50.9,0.8,100,12.5,rain,,,,14.0,209.7,1008.3,33.9,4.0,248.0,21.4,9,,2013-03-21T05:55:35,2013-03-21T18:04:06,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"41915099999,41891099999,remote"
2013-03-22,sylhet,34.2,20.4,27.5,34.1,20.4,27.7,17.4,57.0,4.7,100,58.33,rain,,,,11.1,197.2,1006.9,34.2,4.0,230.5,20.0,8,,2013-03-22T05:54:33,2013-03-22T18:04:32,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41915099999,41891099999,remote"
2013-03-23,sylhet,34.2,20.8,27.6,34.8,20.8,28.2,19.1,62.5,4.1,100,66.67,rain,,,,8.6,220.5,1009.8,39.8,4.3,223.4,19.5,8,,2013-03-23T05:53:31,2013-03-23T18:04:58,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41915099999,41891099999,remote"
2013-03-24,sylhet,33.8,21.6,27.5,35.6,21.6,28.5,19.6,64.4,8.0,100,50.0,rain,,,,10.1,222.1,1009.9,8.3,4.5,253.7,22.1,9,,2013-03-24T05:52:29,2013-03-24T18:05:24,0.4,Rain,Clear conditions throughout the day with rain clearing later.,rain,"41915099999,41891099999,remote"
2013-03-25,sylhet,36.5,20.8,28.0,36.6,20.8,28.5,17.6,57.3,0.1,100,4.17,rain,,,,15.8,226.4,1006.7,18.0,4.5,253.3,22.0,8,,2013-03-25T05:51:27,2013-03-25T18:05:50,0.43,Rain,Clear conditions throughout the day with afternoon rain.,rain,"41915099999,41891099999,remote"
2013-03-26,sylhet,37.4,22.0,28.5,36.6,22.0,28.5,16.3,53.1,0.0,0,0.0,,,,,18.7,225.4,1005.1,14.1,3.7,275.2,23.6,9,,2013-03-26T05:50:25,2013-03-26T18:06:15,0.46,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote"
